LexToken(H1,'# ',1,0)
LexToken(CHAR,'c',23,776)
LexToken(CHAR,'a',23,777)
LexToken(CHAR,'n',23,778)
LexToken(SPACE,' ',23,779)
LexToken(CHAR,'m',23,780)
LexToken(CHAR,'a',23,781)
LexToken(CHAR,'r',23,782)
LexToken(CHAR,'r',23,783)
LexToken(CHAR,'y',23,784)
LexToken(SPACE,' ',23,785)
LexToken(CHAR,'w',23,786)
LexToken(CHAR,'i',23,787)
LexToken(CHAR,'t',23,788)
LexToken(CHAR,'h',23,789)
LexToken(SPACE,' ',23,790)
LexToken(CHAR,'g',23,791)
LexToken(CHAR,'u',23,792)
LexToken(CHAR,'m',23,793)
LexToken(CHAR,'p',23,794)
LexToken(SPACE,' ',23,795)
LexToken(CHAR,'e',23,796)
LexToken(CHAR,'a',23,797)
LexToken(CHAR,'r',23,798)
LexToken(CHAR,'l',23,799)
LexToken(CHAR,'y',23,800)
LexToken(CHAR,'.',23,801)
LexToken(STAR,'\n\n* * *',23,802)
LexToken(CR,'\n\n\n\n\n',23,809)
